"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"1,""0.000000000"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""60145  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=262562040 TSecr=0 WS=128"""
"2,""0.000177864"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  60145 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=985523165 TSecr=262562040 WS=128"""
"3,""0.004438316"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60145  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=262562085 TSecr=985523165"""
"4,""0.013008230"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"5,""0.013155052"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  60145 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=985523178 TSecr=262562093"""
"6,""1.124057493"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  60145 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=985524289 TSecr=262562093 [TCP segment of a reassembled PDU]"""
"7,""1.124098586"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  60145 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=985524289 TSecr=262562093 [TCP segment of a reassembled PDU]"""
"8,""1.124103013"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"9,""1.130435488"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60145  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=262563210 TSecr=985524289"""
"10,""1.132956468"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60145  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=262563213 TSecr=985524289"""
"11,""1.133024905"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60145  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=262563213 TSecr=985524289"""
"12,""1.151845299"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"13,""1.151930507"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  60145 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=985524317 TSecr=262563232"""
"14,""3.551125767"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
